antenna_id,latitude,longitude
28041_117,5.378419876,-3.9677701
28042_117,5.378419876,-3.9677701
28043_117,5.378419876,-3.9677701
28641_118,5.380720139,-3.913300037
28642_118,5.380720139,-3.913300037
28643_118,5.380720139,-3.913300037
20101_118,5.363070011,-3.937870026
29461_118,5.336,-3.871
29462_118,5.336,-3.871
29463_118,5.336,-3.871
29465_118,5.336,-3.871
29466_118,5.336,-3.871
29467_118,5.336,-3.871
27421_117,5.371059895,-3.978810072
27422_117,5.371059895,-3.978810072
27423_117,5.371059895,-3.978810072
37381_150,5.401,-3.346
37382_150,5.401,-3.346
37383_150,5.401,-3.346
37385_150,5.401,-3.346
37386_150,5.401,-3.346
37387_150,5.401,-3.346
222_150,5.401,-3.346
223_150,5.401,-3.346
224_150,5.401,-3.346
525_156,5.205,-3.723
526_156,5.205,-3.723
527_156,5.205,-3.723
24461_138,5.407810211,-4.086740017
24462_138,5.407810211,-4.086740017
24463_138,5.407810211,-4.086740017
24465_138,5.407810211,-4.086740017
24466_138,5.407810211,-4.086740017
24467_138,5.407810211,-4.086740017
28661_162,5.401810169,-3.948709965
28662_162,5.401810169,-3.948709965
28663_162,5.401810169,-3.948709965
28665_162,5.401810169,-3.948709965
28666_162,5.401810169,-3.948709965
28667_162,5.401810169,-3.948709965
29271_126,5.416289806,-3.98052001
29272_126,5.416289806,-3.98052001
29273_126,5.416289806,-3.98052001
29275_126,5.416289806,-3.98052001
29276_126,5.416289806,-3.98052001
29277_126,5.416289806,-3.98052001
29751_162,5.407810211,-4.086740017
29752_162,5.407810211,-4.086740017
29753_162,5.407810211,-4.086740017
29755_162,5.407810211,-4.086740017
29756_162,5.407810211,-4.086740017
29757_162,5.407810211,-4.086740017
42351_309,9.606,-5.185
42352_309,9.606,-5.185
42353_309,9.606,-5.185
42355_309,9.606,-5.185
42356_309,9.606,-5.185
42357_309,9.606,-5.185
8_309,9.606,-5.185
9_309,9.606,-5.185
10_309,9.606,-5.185
35_310,9.996,-5.898
36_310,9.996,-5.898
37_310,9.996,-5.898
23_309,9.573,-5.391
24_309,9.573,-5.391
25_309,9.573,-5.391
345_406,8.446,-3.477
346_406,8.446,-3.477
347_406,8.446,-3.477
30785_101,5.325,-4.265
30786_101,5.325,-4.265
30787_101,5.325,-4.265
12361_102,5.337359905,-3.948999882
12362_102,5.337359905,-3.948999882
12363_102,5.337359905,-3.948999882
12365_102,5.337359905,-3.948999882
12366_102,5.337359905,-3.948999882
12367_102,5.337359905,-3.948999882
55355_142,5.327730179,-4.019899845
38650_8032,6.085,-4.905
38658_8032,6.085,-4.905
38659_8032,6.085,-4.905
53641_8031,6.918,-5.598
53642_8031,6.918,-5.598
53643_8031,6.918,-5.598
53644_8031,6.918,-5.598
53645_8031,6.918,-5.598
53646_8031,6.918,-5.598
53647_8031,6.918,-5.598
53648_8031,6.918,-5.598
53649_8031,6.918,-5.598
18210_7091,6.171,-6.518
18218_7091,6.171,-6.518
18219_7091,6.171,-6.518
28421_6034,6.571,-8.0
28422_6034,6.571,-8.0
28423_6034,6.571,-8.0
28424_6034,6.571,-8.0
28425_6034,6.571,-8.0
28426_6034,6.571,-8.0
28427_6034,6.571,-8.0
28428_6034,6.571,-8.0
28429_6034,6.571,-8.0
35951_6035,7.493,-5.879
35952_6035,7.493,-5.879
35953_6035,7.493,-5.879
35954_6035,7.493,-5.879
35955_6035,7.493,-5.879
35956_6035,7.493,-5.879
35957_6035,7.493,-5.879
35958_6035,7.493,-5.879
35959_6035,7.493,-5.879
36200_6035,7.493,-5.879
36208_6035,7.493,-5.879
36209_6035,7.493,-5.879
12120_3073,7.612,-5.56
12128_3073,7.612,-5.56
12129_3073,7.612,-5.56
14061_3073,7.373,-5.598
14062_3073,7.373,-5.598
14063_3073,7.373,-5.598
14064_3073,7.373,-5.598
14065_3073,7.373,-5.598
14066_3073,7.373,-5.598
14067_3073,7.373,-5.598
14068_3073,7.373,-5.598
14069_3073,7.373,-5.598
53330_3073,7.373,-5.598
53338_3073,7.373,-5.598
53339_3073,7.373,-5.598
25831_3073,7.179,-5.928
25832_3073,7.179,-5.928
25833_3073,7.179,-5.928
25834_3073,7.179,-5.928
25835_3073,7.179,-5.928
25836_3073,7.179,-5.928
25837_3073,7.179,-5.928
25838_3073,7.179,-5.928
25839_3073,7.179,-5.928
26740_3073,7.536,-6.142
26748_3073,7.536,-6.142
26749_3073,7.536,-6.142
26781_3073,7.536,-6.142
26782_3073,7.536,-6.142
26783_3073,7.536,-6.142
26784_3073,7.536,-6.142
26785_3073,7.536,-6.142
26786_3073,7.536,-6.142
26787_3073,7.536,-6.142
26788_3073,7.536,-6.142
26789_3073,7.536,-6.142
35080_3073,7.688,-5.842
35088_3073,7.688,-5.842
35089_3073,7.688,-5.842
51371_3073,7.688,-5.842
51372_3073,7.688,-5.842
51373_3073,7.688,-5.842
51374_3073,7.688,-5.842
51375_3073,7.688,-5.842
51376_3073,7.688,-5.842
51377_3073,7.688,-5.842
51378_3073,7.688,-5.842
51379_3073,7.688,-5.842
35090_3073,7.612,-6.123
35098_3073,7.612,-6.123
35099_3073,7.612,-6.123
35100_3073,7.623,-5.955
35108_3073,7.623,-5.955
35109_3073,7.623,-5.955
51611_3073,7.623,-5.955
51612_3073,7.623,-5.955
51613_3073,7.623,-5.955
51614_3073,7.623,-5.955
51615_3073,7.623,-5.955
51616_3073,7.623,-5.955
51617_3073,7.623,-5.955
51618_3073,7.623,-5.955
51619_3073,7.623,-5.955
35190_3073,7.449,-6.142
35198_3073,7.449,-6.142
35199_3073,7.449,-6.142
35200_3073,7.33,-6.011
35208_3073,7.33,-6.011
35209_3073,7.33,-6.011
35631_3073,7.807,-6.086
35632_3073,7.807,-6.086
35633_3073,7.807,-6.086
35634_3073,7.807,-6.086
35635_3073,7.807,-6.086
35636_3073,7.807,-6.086
35637_3073,7.807,-6.086
35638_3073,7.807,-6.086
35639_3073,7.807,-6.086
36240_3073,7.807,-6.086
36248_3073,7.807,-6.086
36249_3073,7.807,-6.086
35951_3073,7.493,-5.879
35952_3073,7.493,-5.879
35953_3073,7.493,-5.879
35954_3073,7.493,-5.879
35955_3073,7.493,-5.879
